N,N_DIAG,f_PASS,PCA4,PCA6,var_ratio_PC6,twonn_PASS,twonn_FAIL,delta_d_min,delta_d_max
3000000,300000,0.010454666666666666,0.957277376355647,0.011264638801229377,0.026563798184259087,5.3603083225613695,5.750543004792725,0.47080676161307355,0.7163548993480697
30000000,300000,0.0105029,0.9557502865780859,0.012123372513118827,0.028538882987793605,5.477548521885029,5.710884937517307,0.4045658749410057,0.6886085722207156
70000000,300000,0.010470428571428572,0.9566181401013732,0.011907998172936803,0.02767606099976538,5.459357911194199,5.733226439530339,0.49934246490480305,0.7153625741790526
90000000,300000,0.010485122222222223,0.9572171294375281,0.011533790420885964,0.02692084988655247,5.497701542350227,5.758699674005284,0.5050703578054039,0.7446710677249637
