model,fPASS_diag,N_PASS_diag,var_ratio_PC6,Delta_d_k20
baseline_power,0.01018,3054,0.026563798184259087,0.6317982214970996
alt_saturating,0.011253333333333334,3376,0.02660137183915715,0.5791229539127816
