scheme,fPASS_w,var_ratio_PC6,Delta_d_k20
uniform,0.01018,0.026532315337939955,0.6435821469622178
w_q,0.00023828801262543213,0.026945782406814747,0.5664784083237944
w_1_over_q,0.00016536673306656442,0.026962910873649226,0.5591767326069945
w_1_plus_cLam,0.002537847364630493,0.026610216678986966,0.5122521066549002
w_1_over_1_plus_cLam,0.012574448039526573,0.026416508483974713,0.6545790301627603
