label,fPASS_diag,N_PASS_diag,var_ratio_PC6,Delta_d_k20
PASS_primary,0.19421666666666668,58265,0.08980924119055142,0.052054341862614706
PASS_full,0.01018,3054,0.026563798184259087,0.6450017937973254
