eps,fPASS_diag,var_ratio_PC5,var_ratio_PC6,Delta_d_k20,N_PASS_diag
0.02,0.0131,0.10443037381176937,0.026402474979960525,0.6377344138202599,3930
0.03,0.012186666666666667,0.09288225697933546,0.02793569490320089,0.5568261698244736,3656
0.05,0.010506666666666666,0.07431446980679819,0.02747227362112469,0.678638206486033,3152
0.1,0.008456666666666666,0.058666376078092,0.02813753317609626,0.8212645263341356,2537
0.2,0.005836666666666667,0.04065184813239595,0.027075616615759756,,1751
